"","PhotoID","Condition","Generation","First","Second","ID","Rating"
"101",296,"Pair",1,"p2-1-1","p3-1-1",1,2
"102",296,"Pair",1,"p2-1-1","p3-1-1",4,2
"103",296,"Pair",1,"p2-1-1","p3-1-1",8,2
"104",296,"Pair",1,"p2-1-1","p3-1-1",11,1
"105",296,"Pair",1,"p2-1-1","p3-1-1",13,2
"106",296,"Pair",1,"p2-1-1","p3-1-1",17,3
"107",296,"Pair",1,"p2-1-1","p3-1-1",21,3
"108",296,"Pair",1,"p2-1-1","p3-1-1",24,3
"109",296,"Pair",1,"p2-1-1","p3-1-1",27,1
"110",296,"Pair",1,"p2-1-1","p3-1-1",30,3
"111",297,"Pair",1,"p2-1-1","p4-1-1",2,2
"112",297,"Pair",1,"p2-1-1","p4-1-1",5,2
"113",297,"Pair",1,"p2-1-1","p4-1-1",7,3
"114",297,"Pair",1,"p2-1-1","p4-1-1",11,1
"115",297,"Pair",1,"p2-1-1","p4-1-1",14,1
"116",297,"Pair",1,"p2-1-1","p4-1-1",17,1
"117",297,"Pair",1,"p2-1-1","p4-1-1",21,1
"118",297,"Pair",1,"p2-1-1","p4-1-1",22,2
"119",297,"Pair",1,"p2-1-1","p4-1-1",25,1
"120",297,"Pair",1,"p2-1-1","p4-1-1",30,2
"121",298,"Pair",1,"p2-1-1","p5-1-1",2,1
"122",298,"Pair",1,"p2-1-1","p5-1-1",5,1
"123",298,"Pair",1,"p2-1-1","p5-1-1",8,1
"124",298,"Pair",1,"p2-1-1","p5-1-1",10,1
"125",298,"Pair",1,"p2-1-1","p5-1-1",14,1
"126",298,"Pair",1,"p2-1-1","p5-1-1",17,1
"127",298,"Pair",1,"p2-1-1","p5-1-1",21,1
"128",298,"Pair",1,"p2-1-1","p5-1-1",22,1
"129",298,"Pair",1,"p2-1-1","p5-1-1",26,1
"130",298,"Pair",1,"p2-1-1","p5-1-1",30,2
"131",299,"Pair",1,"p2-1-1","p7-1-1",1,4
"132",299,"Pair",1,"p2-1-1","p7-1-1",4,4
